분류,제목,시간,링크
모바일,"[AI픽] LGU+, AI 고객센터 기술 공개…상담 전 과정 AI로 혁신",24분전,https://n.news.naver.com/mnews/article/001/0016192616
모바일,"KT, 국가 공공 AI 인프라 설계한다…국정자원 정보화전략계획 우선협상",40분전,https://n.news.naver.com/mnews/article/003/0014064687
모바일,"KT, 국가 공공 AI 인프라 밑그림 그린다…‘국가정보자원관리원 혁신 ISP’ 우선협상자 선정",56분전,https://n.news.naver.com/mnews/article/468/0001253479
모바일,"LG유플러스, 아시아 최대 AX 콘퍼런스서 'AICC' 기술력 공개",59분전,https://n.news.naver.com/mnews/article/421/0009057550
모바일,"LGU+, AXIS 2026서 AICC 기술 공개…고객센터 전 과정 AI로 연결",1시간전,https://n.news.naver.com/mnews/article/003/0014064610
모바일,[AI픽] 카카오워크 2.0 공개…AI 에이전트 품은 협업툴 진화,1시간전,https://n.news.naver.com/mnews/article/001/0016192484
모바일,AI 글래스 보급 급증 속…'불법촬영' 등 사생활침해 우려도 가중,2시간전,https://n.news.naver.com/mnews/article/018/0006329564
모바일,'아이폰 화면' 지킬까 뺏길까…애플·오픈AI 소송전 진짜 속내는,16시간전,https://n.news.naver.com/mnews/article/003/0014064177
모바일,"SKT·LGU+·카카오, '모두의 AI' 출사표…네이버·업스테이지도 참여 검토",16시간전,https://n.news.naver.com/mnews/article/003/0014064108
모바일,국민 10명 중 8명 '갤럭시'…구매 의향·AI 인식도 1위,17시간전,https://n.news.naver.com/mnews/article/003/0014063960
모바일,"어도비, 디즈니와 손잡고 테마파크에 ‘AI 디자인 도구’ 만든다",17시간전,https://n.news.naver.com/mnews/article/009/0005706787
모바일,"정부, AIDC 지원 범부처 TF 가동…내년엔 '1인 1에이전트' 추진",17시간전,https://n.news.naver.com/mnews/article/003/0014063955
모바일,미·중 'AI 빗장' 확산…K-AI 독자성 8월 시험대,17시간전,https://n.news.naver.com/article/003/0014063885
모바일,‘모두의 AI’ 공모 시작…GPU 512장 투입해 연내 서비스 출시,18시간전,https://n.news.naver.com/article/011/0004641047
모바일,"전 국민 무료로 쓰는 ‘국산 AI 챗봇’ 나온다...정부, ‘모두의 AI’ 프로젝트 착수",18시간전,https://n.news.naver.com/article/009/0005706673
모바일,"정부, '모두의 AI' 서비스 사업자 내달 선정…연내 출시 목표",18시간전,https://n.news.naver.com/article/003/0014063851
모바일,"KT 콘텐츠페이, AI·일상 구독 서비스 최대 50% 할인",19시간전,https://n.news.naver.com/article/421/0009056416
모바일,"""K-디지털 DNA 심는다""…정부, 말레이시아에 AI 아카데미 개소",22시간전,https://n.news.naver.com/article/003/0014063019
모바일,"KT, CSAP 인증 ‘AI 메일보안’ 출시…공공기관 보안 시장 공략",23시간전,https://n.news.naver.com/article/011/0004640914
인터넷 & SNS,카카오 기업용 메신저에 AI 비서 붙었다…'카카오워크 2.0' 출시,23분전,https://n.news.naver.com/mnews/article/003/0014064727
인터넷 & SNS,"네이버 커넥트재단, 특수교육 AI 콘텐츠 개발 나선다",30분전,https://n.news.naver.com/mnews/article/001/0016192590
